Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
C,Jeddah,Mercedes,Automatic,Other,Full,2018,2.0,70000,False,177000.0,12.083910661257521,Other,Mercedes,Jeddah,7,0,Standard,8750.0,51031.11111111111,49
Symbol,Riyadh,Renault,Automatic,Saudi,Standard,2020,1.6,46505,False,26000.0,10.165890277802454,Other,Other,Riyadh,5,0,Standard,7750.833333333333,6250.0,25
Pathfinder,Hail,Nissan,Automatic,Saudi,Semi Full,2010,3.5,400000,False,22500.0,10.021315031649332,Other,Nissan,Other,15,0,Standard,25000.0,-12075.520833333336,225
Corolla,Dammam,Toyota,Manual,Saudi,Standard,2016,1.6,83000,False,38500.0,10.55843949396453,Corolla,Toyota,Dammam,9,0,Standard,8300.0,-10874.55705173636,81
Carnival,Jeddah,Kia,Automatic,Saudi,Standard,2020,3.3,200,False,106000.0,11.571203807011969,Other,Kia,Jeddah,5,0,Standard,33.333333333333336,73730.37190082645,25
Royal,Riyadh,Genesis,Automatic,Saudi,Full,2015,3.8,194000,False,85000.0,11.350418300109132,Other,Other,Riyadh,10,0,Premium,17636.363636363636,-4883.3333333333285,100
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,3.7,289903,False,51500.0,10.849356503939038,Other,Mazda,Riyadh,11,0,Standard,24158.583333333332,4279.527559055117,121
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.7,175000,False,108000.0,11.58989576532275,Prado,Toyota,Riyadh,8,0,Standard,19444.444444444445,58625.44294826364,64
Attrage,Al-Medina,Mitsubishi,Automatic,Saudi,Standard,2018,1.2,68000,False,26500.0,10.184937747111391,Other,Mitsubishi,Al-Medina,7,0,Standard,8500.0,-15231.182795698922,49
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,5.7,143203,False,156500.0,11.960817678718287,Land Cruiser,Toyota,Riyadh,10,0,Standard,13018.454545454546,107125.44294826363,100
Elantra,Jubail,Hyundai,Automatic,Saudi,Full,2019,2.0,39000,False,65000.0,11.082157933374816,Elantra,Hyundai,Other,6,0,Standard,5571.428571428572,30001.364341085275,36
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,60700,False,33000.0,10.404293143019792,Sunny,Nissan,Dammam,6,0,Standard,8671.42857142857,-1575.5208333333358,36
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2021,4.0,7456,False,146500.0,11.89478753335453,Other,Toyota,Riyadh,4,0,Standard,1491.2,97125.44294826363,16
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,4.0,205000,False,61000.0,11.0186455364637,Furniture,Toyota,Riyadh,10,0,Standard,18636.363636363636,11625.44294826364,100
Mustang,Dammam,Ford,Automatic,Other,Full,2016,5.0,92000,False,129000.0,11.767575435251748,Other,Ford,Dammam,9,0,Standard,9200.0,91355.46271510515,81
Hiace,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2015,2.7,200000,False,47000.0,10.757924157061597,Other,Toyota,Riyadh,10,0,Standard,18181.81818181818,-2374.5570517363594,100
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Standard,2009,5.3,523000,False,45000.0,10.714439990727769,Yukon,GMC,Al-Ahsa,16,0,Standard,30764.70588235294,-936.2815884476513,256
Cerato,Dammam,Kia,Automatic,Saudi,Standard,2018,1.6,57000,False,39500.0,10.584081267024454,Other,Kia,Dammam,7,0,Standard,7125.0,7230.371900826445,49
Taurus,Al-Baha,Ford,Automatic,Unknown,Standard,2018,3.5,88000,False,78000.0,11.264476926102367,Taurus,Ford,Other,7,0,Standard,11000.0,40355.46271510516,49
Hilux,Abha,Toyota,Manual,Saudi,Semi Full,1999,2.7,375,False,19000.0,9.852246888342531,Hilux,Toyota,Other,26,1,Standard,13.88888888888889,-30374.55705173636,676
Optra,Dammam,Chevrolet,Manual,Saudi,Semi Full,2009,2.0,290000,False,7500.0,8.922791623969637,Other,Chevrolet,Dammam,16,0,Standard,17058.823529411766,-36363.534675615214,256
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,1.4,250000,False,17000.0,9.741027444837728,Accord,Honda,Jeddah,20,0,Standard,11904.761904761905,-28154.782608695656,400
Corolla,Jeddah,Toyota,Automatic,Saudi,Semi Full,2011,1.4,283971,False,25000.0,10.12667110305036,Corolla,Toyota,Jeddah,14,0,Standard,18931.4,-24374.55705173636,196
S,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2015,3.0,96500,False,220000.0,12.301387370778713,S,Mercedes,Dammam,10,0,Standard,8772.727272727272,94031.11111111111,100
Pajero,Aseer,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,132000,False,63000.0,11.050905878263567,Other,Mitsubishi,Aseer,9,0,Standard,13200.0,21268.817204301078,81
S,Jeddah,Mercedes,Automatic,Saudi,Full,2017,3.0,53000,False,290000.0,12.577639650232573,S,Mercedes,Jeddah,8,0,Standard,5888.888888888889,164031.11111111112,64
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2019,6.2,58678,False,261500.0,12.474193386571581,Other,Other,Riyadh,6,0,Premium,8382.57142857143,170774.1935483871,36
LX,Aseer,Lexus,Automatic,Saudi,Full,2015,5.7,248,False,200000.0,12.206077645517674,Other,Lexus,Aseer,10,0,Premium,22.545454545454547,83538.28828828828,100
Senta fe,Hafar Al-Batin,Hyundai,Automatic,Saudi,Full,2015,3.3,337946,False,45000.0,10.714439990727769,Other,Hyundai,Other,10,0,Standard,30722.363636363636,10001.364341085275,100
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,104000,False,105000.0,11.561725152903833,ES,Lexus,Riyadh,10,0,Premium,9454.545454545454,-11461.711711711716,100
Cruze,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016,1.8,154000,False,25000.0,10.12667110305036,Other,Chevrolet,Riyadh,9,0,Standard,15400.0,-18863.534675615214,81
Armada,Jeddah,Nissan,Automatic,Saudi,Full,2006,5.6,266000,False,25000.0,10.12667110305036,Other,Nissan,Jeddah,19,0,Standard,13300.0,-9575.520833333336,361
